person_id,label,mean_x,mean_y,std_x,std_y,gaze_entropy,max_distance,avg_distance,avg_speed,total_movement,fixation_count,saccade_count,skew_x,skew_y,kurt_x,kurt_y,gaze_concentration,central_proportion,transition_frequency,silhouette_score,stability_ratio,direction_entropy,gaze_reversion_frequency
person_28,scripted,42.72402597402598,50.451298701298704,6.533686751451924,12.236575370973274,6.827947275975228,37.44329045369811,21.70500988336989,5.848873965709885,1795.6043074729346,154,71,-0.24562585422019886,-0.47793621943008574,-1.3988100111119326,-1.49492254613454,0.34415584415584416,0.34415584415584416,49,0.48896124926386175,0.5,2.2199732992513455,5.285714285714286
person_28,spontaneous,42.763636363636365,57.18989898989899,5.689920318231602,8.743320121722062,6.543631313186978,40.45985664828782,28.46454875452885,6.756862690107543,3337.890168913126,127,195,-0.2801896082918907,-2.3063837511723952,-0.1084271532755503,5.789078351393744,0.4404040404040404,0.09898989898989899,113,0.484100506560678,0.25656565656565655,2.1657599141437154,3.3805309734513274
person_3,scripted,34.35048678720445,26.52712100139082,3.623983351746918,3.713114066801881,6.518259771802008,40.45985664828782,6.894314386326661,1.7240130348794245,1237.8413590434268,510,17,6.395346800872882,6.041687175777462,46.73073009589887,43.36986641596977,0.08484005563282336,0.9819193324061196,9,0.4421617513113926,0.7093184979137691,1.8847848317204887,78.88888888888889
person_3,spontaneous,34.32703659976387,25.90672963400236,2.779188713931158,3.3594071794036204,6.459326908902851,41.773197148410844,7.166898557241507,0.9577488425156472,810.2555207682375,786,9,7.623204630929913,8.18448286562993,78.34291741256395,72.5134933464091,0.06493506493506493,0.9893742621015348,7,0.934589609170115,0.9279811097992916,1.2799403953173536,120.0
person_4,scripted,52.741379310344826,23.389162561576356,15.546175332715165,18.431488911493183,7.16490300473764,43.139309220245984,32.45927553504455,12.87961784446628,5216.245227008843,198,115,-1.148810397051557,1.38354330906986,-0.32544918320312366,-0.030149208670440686,0.23399014778325122,0.03694581280788178,85,0.9119603619320735,0.4876847290640394,2.2548595955498434,3.776470588235294
person_4,spontaneous,41.25779376498801,37.5,14.874084326857169,20.527219653393868,7.35873458386165,42.44997055358225,26.777495138187525,18.378002369992913,15308.875974204097,244,435,0.0728444123834765,0.08361392570830087,-1.357709177335145,-1.8881768790067062,0.34172661870503596,0.15827338129496402,261,0.7944473935288378,0.29256594724220625,2.337361724701282,2.1954022988505746
person_5,scripted,51.16731517509728,58.57198443579767,6.994363089601717,2.7463884580038584,7.450222520832276,38.18376618407357,33.35983708074841,4.5774739833171765,1171.8333397291972,171,85,-1.2328499800216683,-8.758147100449369,2.0614211211014073,76.73749137633494,0.06614785992217899,0.011673151750972763,32,0.908111320264798,0.6653696498054474,1.1659742532137336,7.03125
person_5,spontaneous,28.86127167630058,36.65028901734104,1.7070536023629634,0.7588797447234281,7.500921220599426,8.06225774829855,5.87851243805354,0.31533244828445767,108.78969465813789,338,0,0.48277809163259616,0.7588005697226229,-0.9340593031220261,0.03127729218781994,0.05491329479768786,1.0,1,0.5853977388221785,0.976878612716763,0.7905247207766597,345.0
person_6,scripted,25.31750339213026,31.509497964721845,11.451583739267814,13.519299699976928,6.541299600589408,44.553338819890925,14.831307624352519,5.55551974975273,8183.280591385772,905,271,-0.07854083666725253,1.6055106971104276,2.3690323905716495,0.9463182394833187,0.24898236092265943,0.7503392130257802,131,0.748889569627425,0.6139755766621439,2.09382913040623,10.251908396946565
person_6,spontaneous,29.95679012345679,25.26388888888889,2.13186528925171,1.3337756666537028,6.357485787846747,13.601470508735444,7.31422116056367,0.7611381882581877,985.6739537943531,1192,0,-0.8731128156401635,-0.14052354017566362,1.0426345774186698,0.4101027571585987,0.06790123456790123,1.0,1,0.3616968128725144,0.9197530864197531,1.701271953947944,1295.0
person_7,scripted,33.5,24.729477611940297,2.6148390347342785,5.5237421714873625,6.435973632362292,37.44329045369811,8.863695427820861,1.2152116965046118,650.1382576299673,433,5,3.207775722649564,6.176395458036837,21.309554079960154,38.643886190904816,0.11194029850746269,0.9794776119402985,3,0.38063905174585055,0.8078358208955224,1.7446524533207666,177.66666666666666
person_7,spontaneous,36.01136363636363,34.16590909090909,3.5055904528732444,4.037661154668277,6.7583837518473,43.139309220245984,5.477036246523231,2.06296149748667,905.6400973966481,270,17,3.301319180315194,3.9156697600928267,23.411237226614883,26.463214209775195,0.25227272727272726,0.9886363636363636,5,0.31059868414096403,0.6136363636363636,2.173304679347299,87.0
person_8,scripted,29.0518444666002,24.808574277168496,8.95460407942742,19.289196459704957,7.410040838470488,44.553338819890925,16.40210970678694,14.271783419124722,14300.32698596297,553,405,-2.4394527985339245,-0.05724350454137625,5.616114209749021,-0.8960287169212959,0.08574277168494517,0.5752741774675972,121,0.8871822906345544,0.551345962113659,1.767378885237438,7.289256198347108
person_8,spontaneous,30.25979381443299,32.64226804123712,2.4177986300437793,4.9811685635317655,7.3415601776532355,44.553338819890925,2.8745064876812356,1.889285051541687,1830.7172149438948,902,48,-9.736677767751676,-4.255494019835598,113.10241820198195,37.027221351793635,0.024742268041237112,0.9731958762886598,9,0.9560468843467929,0.9298969072164949,1.117204150464683,106.77777777777777
person_9,scripted,32.459958932238195,24.790554414784395,1.612049024044597,1.246093938479126,6.606832218882954,10.44030650891055,7.408309288044506,1.1718900370134218,569.5385579885229,377,0,0.20643735875282662,0.483978105474802,1.1878184857669023,-0.09812161823392351,0.11088295687885011,1.0,1,0.3546406081603837,0.7741273100616016,1.9443704935484516,486.0
